,0,1,2
0,1,30.0,30.0
1,10000,330.0,330.0
2,20000,850.0,850.0
3,30000,720.0,720.0
4,40000,240.0,240.0
5,50000,0.0,0.0
6,60000,330.0,330.0
7,70000,260.0,260.0
8,80000,290.0,290.0
9,90000,520.0,520.0
10,100000,410.0,410.0
11,110000,380.0,380.0
12,120000,560.0,560.0
13,130000,200.0,200.0
14,140000,360.0,360.0
15,150000,230.0,230.0
16,160000,420.0,420.0
17,170000,400.0,400.0
18,180000,530.0,530.0
19,190000,1420.0,1420.0
20,200000,320.0,320.0
21,210000,590.0,590.0
22,220000,630.0,630.0
23,230000,390.0,390.0
24,240000,610.0,610.0
25,250000,1160.0,1160.0
26,260000,550.0,550.0
27,270000,450.0,450.0
28,280000,1040.0,1040.0
29,290000,430.0,430.0
30,300000,990.0,990.0
31,310000,460.0,460.0
32,320000,570.0,570.0
33,330000,960.0,960.0
34,340000,1040.0,1040.0
35,350000,190.0,190.0
36,360000,310.0,310.0
37,370000,360.0,360.0
38,380000,540.0,540.0
39,390000,1010.0,1010.0
40,400000,520.0,520.0
41,410000,450.0,450.0
42,420000,1980.0,1980.0
43,430000,270.0,270.0
44,440000,950.0,950.0
45,450000,2000.0,2000.0
46,460000,370.0,370.0
47,470000,890.0,890.0
48,480000,310.0,310.0
49,490000,330.0,330.0
50,500000,880.0,880.0
51,510000,1950.0,1950.0
52,520000,1980.0,1980.0
53,530000,2000.0,2000.0
54,540000,2560.0,2560.0
55,550000,110.0,110.0
56,560000,2520.0,2520.0
57,570000,950.0,950.0
58,580000,920.0,920.0
59,590000,420.0,420.0
60,600000,1890.0,1890.0
61,610000,1520.0,1520.0
62,620000,990.0,990.0
63,630000,1880.0,1880.0
64,640000,1990.0,1990.0
65,650000,2000.0,2000.0
66,660000,2080.0,2080.0
67,670000,360.0,360.0
68,680000,900.0,900.0
69,690000,1050.0,1050.0
70,700000,1470.0,1470.0
71,710000,600.0,600.0
72,720000,330.0,330.0
73,730000,930.0,930.0
74,740000,1000.0,1000.0
75,750000,2630.0,2630.0
76,760000,1030.0,1030.0
77,770000,2020.0,2020.0
78,780000,370.0,370.0
79,790000,410.0,410.0
80,800000,1540.0,1540.0
81,810000,1970.0,1970.0
82,820000,890.0,890.0
83,830000,2760.0,2760.0
84,840000,3020.0,3020.0
85,850000,900.0,900.0
86,860000,990.0,990.0
87,870000,1560.0,1560.0
88,880000,1990.0,1990.0
89,890000,930.0,930.0
90,900000,1110.0,1110.0
91,910000,2530.0,2530.0
92,920000,350.0,350.0
93,930000,1990.0,1990.0
94,940000,2670.0,2670.0
95,950000,2680.0,2680.0
96,960000,920.0,920.0
97,970000,2520.0,2520.0
98,980000,3110.0,3110.0
99,990000,990.0,990.0
100,1000000,770.0,770.0
