,0,1,2
0,10000,700.0,700.0
1,20000,1000.0,1000.0
2,30000,0.0,0.0
3,40000,1500.0,1500.0
4,50000,600.0,600.0
5,60000,6300.0,6300.0
6,70000,10200.0,10200.0
7,80000,3600.0,3600.0
8,90000,7000.0,7000.0
9,100000,9600.0,9600.0
10,110000,16300.0,16300.0
11,120000,10900.0,10900.0
12,130000,13800.0,13800.0
13,140000,5500.0,5500.0
14,150000,0.0,0.0
15,160000,0.0,0.0
16,170000,16900.0,16900.0
17,180000,9300.0,9300.0
18,190000,6400.0,6400.0
19,200000,18300.0,18300.0
20,210000,16300.0,16300.0
21,220000,15900.0,15900.0
22,230000,21300.0,21300.0
23,240000,17100.0,17100.0
24,250000,18700.0,18700.0
25,260000,2500.0,2500.0
26,270000,13600.0,13600.0
27,280000,300.0,300.0
28,290000,16200.0,16200.0
29,300000,16000.0,16000.0
30,310000,14300.0,14300.0
31,320000,7700.0,7700.0
32,330000,15400.0,15400.0
33,340000,16400.0,16400.0
34,350000,2800.0,2800.0
35,360000,16600.0,16600.0
36,370000,13400.0,13400.0
37,380000,21700.0,21700.0
38,390000,15500.0,15500.0
39,400000,11500.0,11500.0
40,410000,15500.0,15500.0
41,420000,14400.0,14400.0
42,430000,17300.0,17300.0
43,440000,4900.0,4900.0
44,450000,17100.0,17100.0
45,460000,16300.0,16300.0
46,470000,5000.0,5000.0
47,480000,18300.0,18300.0
48,490000,15700.0,15700.0
49,500000,19500.0,19500.0
50,510000,18600.0,18600.0
51,520000,19500.0,19500.0
52,530000,19100.0,19100.0
53,540000,17800.0,17800.0
54,570000,16900.0,16900.0
55,580000,17000.0,17000.0
56,590000,15000.0,15000.0
57,600000,18900.0,18900.0
58,610000,19600.0,19600.0
59,620000,17000.0,17000.0
60,640000,17100.0,17100.0
61,650000,15600.0,15600.0
62,660000,15800.0,15800.0
63,670000,18500.0,18500.0
64,680000,5800.0,5800.0
65,690000,20700.0,20700.0
66,700000,17800.0,17800.0
67,710000,13500.0,13500.0
68,720000,14100.0,14100.0
69,730000,16500.0,16500.0
70,770000,18800.0,18800.0
71,780000,18800.0,18800.0
72,790000,13500.0,13500.0
73,800000,18100.0,18100.0
74,810000,21400.0,21400.0
75,820000,17800.0,17800.0
76,830000,15900.0,15900.0
77,840000,21100.0,21100.0
78,850000,24300.0,24300.0
79,860000,17900.0,17900.0
80,860001,23500.0,23500.0
81,870000,17700.0,17700.0
82,890000,14200.0,14200.0
83,900000,21600.0,21600.0
84,910000,15800.0,15800.0
85,920000,15800.0,15800.0
86,930000,18700.0,18700.0
87,940000,18900.0,18900.0
88,950000,23800.0,23800.0
89,960000,21100.0,21100.0
90,970000,21300.0,21300.0
91,980000,21900.0,21900.0
92,990000,22600.0,22600.0
93,1000000,18700.0,18700.0
